dataset,gap,method,mae,rmse,max_error,coverage,time_ms,gap_fraction,n_az,n_rg,az_res_deg,width_pixels
mixed,random_30,linear_2d_griddata,0.00012262735979843827,0.00022535112306530062,0.0135991876834511,1.0,23201.010791002773,0.2999291666666667,720,1000,0.5,5.0
mixed,random_30,astropy_gaussian,0.004492454584556473,0.012039559877281655,0.33858495432374425,1.0,331.1789579456672,0.2999291666666667,720,1000,0.5,5.0
mixed,random_30,iterative_dct,0.0003856297213393227,0.0005126175192382217,0.012667745261814939,1.0,147.67883392050862,0.2999291666666667,720,1000,0.5,5.0
mixed,random_50,linear_1d_az,0.005791483654891859,0.011338422800218533,0.1630855369679714,1.0,32.93654206208885,0.4999958333333333,720,1000,0.5,5.0
mixed,random_50,linear_2d_griddata,0.00022011536957212708,0.000439441933299085,0.027654986988381293,1.0,15784.175375010818,0.4999958333333333,720,1000,0.5,5.0
mixed,random_50,astropy_gaussian,0.0048689746972527355,0.01251005306220584,0.42689460009578184,1.0,474.81716691982,0.4999958333333333,720,1000,0.5,5.0
mixed,random_50,iterative_dct,0.0005563794563237754,0.0007763161481213883,0.04120757577780334,1.0,196.12845894880593,0.4999958333333333,720,1000,0.5,5.0
mixed,random_70,linear_1d_az,0.011671056654318198,0.021234372876182586,0.18913378492135496,1.0,28.350417036563158,0.7001180555555555,720,1000,0.5,5.0
mixed,random_70,linear_2d_griddata,0.00048503453813402304,0.0010592096022907038,0.09007497948664157,1.0,9353.54441695381,0.7001180555555555,720,1000,0.5,5.0
mixed,random_70,astropy_gaussian,0.005656789310160074,0.01382215725452698,0.5482758794190711,1.0,296.4759160531685,0.7001180555555555,720,1000,0.5,5.0
mixed,random_70,iterative_dct,0.0010690283561091243,0.0015401536594228152,0.07037521930914657,1.0,354.5664999401197,0.7001180555555555,720,1000,0.5,5.0
mixed,hole_circular,linear_1d_az,0.053575555772938675,0.07170829950070585,0.21352552589964324,1.0,16.830458072945476,0.02582638888888889,720,1000,0.5,5.0
mixed,hole_circular,linear_2d_griddata,0.04838730601616492,0.06014782406620834,0.15309553044485658,1.0,35772.6328750141,0.02582638888888889,720,1000,0.5,5.0
mixed,hole_circular,astropy_gaussian,0.01659581681825782,0.022918833624339108,0.07888112199709019,0.19757999462221026,89.10104201640934,0.02582638888888889,720,1000,0.5,5.0
mixed,hole_circular,iterative_dct,0.07381543828026824,0.09183351397060295,0.2067471033529502,1.0,85.1476249517873,0.02582638888888889,720,1000,0.5,5.0
